11857,aspnet-contrib,c#,0.5510039779403835
12317,web3js,solidity,1.5061257779601103
19465,cmdline-args,android,0.5510039779403835
13727,autocad-scripts,pandas,0.5510039779403835
12579,python-zip,pandas,0.5510039779403835
14299,combine,swift,0.9570537094934962
13681,objective-c,ios,1.7490400356636837
1755,scikit-learn,keras,0.5510039779403835
14441,web3py,solidity,1.0292406110678418
1481,cdf,pandas,0.5510039779403835
18511,square-connect,android,0.5510039779403835
17119,target-sdk,android,0.5510039779403835
11921,viewmodifier,ios,0.5510039779403835
6369,weekday,c#,0.5510039779403835
3137,nodejs-server,solidity,0.5510039779403835
16991,compiler-warnings,c#,0.6456503904011847
6551,cell-formatting,c#,0.5510039779403835
11827,docx2pdf,r,0.5510039779403835
4047,arules,r,0.5510039779403835
12221,training-data,keras,0.6552665577411984
45,share-extension,swift,0.5510039779403835
19507,rsk,solidity,0.63177633521458
17173,selectpdf,c#,0.5510039779403835
17717,decentralized-applications,solidity,3.567806084772443
9445,erc20,solidity,1.576552331869074
1551,notation,keras,0.5510039779403835
9537,pythonw,pandas,0.5510039779403835
12353,web-content,ios,0.5510039779403835
899,btree-gist,sql-server,0.5510039779403835
9577,gmsautocomplete,swift,0.5876596956991536
4621,tensorflow,keras,1.2187978407050473
5587,social-auth-app-django,django,0.5510039779403835
681,makemigrations,django,0.5510039779403835
2651,pandas-loc,pandas,0.5510039779403835
12779,serving,keras,0.6119438699756358
5835,elrond,solidity,0.5510039779403835
12785,django-formwizard,django,0.5510039779403835
2619,json-normalize,pandas,0.5510039779403835
4927,django-i18n,django,0.5510039779403835
11087,pull-to-refresh,ios,0.5510039779403835
16213,jsonb,sql-server,0.7675198431471031
10335,web3php,solidity,1.247074958404546
4179,unobtrusive-validation,c#,0.5510039779403835
17069,pyexcelerator,pandas,0.5510039779403835
11971,generated,sql-server,0.5510039779403835
6083,write.table,r,0.5510039779403835
1027,xcode,ios,1.2506068411815643
19467,ios,swift,24.181276748985614
8733,xib,ios,0.5510039779403835
2585,filegroup,sql-server,0.5510039779403835
9689,django-excel,django,0.5510039779403835
17979,objective-c-blocks,swift,1.6693314837554525
1329,spring-cloud-gcp-bigquery,sql-server,0.5510039779403835
2371,reentrancy,solidity,0.5510039779403835
20031,tensorflow-datasets,keras,9.69586339237723
8419,unity3d-2dtools,c#,0.5510039779403835
5337,asp.net,c#,1.5534103119753988
7933,nslock,swift,0.5510039779403835
15165,htmx,django,0.5510039779403835
9203,mklocalsearch,ios,0.5510039779403835
4003,android-recyclerview,android,0.5510039779403835
4461,objective-c++,ios,0.5876596956991536
20417,volusion,sql-server,0.5510039779403835
4253,crc16,pandas,0.5510039779403835
4285,class-table-inheritance,sql-server,0.5510039779403835
6231,locate,pandas,0.5510039779403835
4161,datetime2,sql-server,0.5510039779403835
3535,dbnull,c#,0.5510039779403835
6663,django-modeltranslation,django,0.5510039779403835
17871,uiprogressview,ios,1.3720151358734618
16795,cantera,pandas,0.5510039779403835
709,swiftcharts,ios,0.5510039779403835
2557,wallet-connect,solidity,0.5510039779403835
14319,autoencoder,keras,0.9788607555213371
18931,nslocale,ios,1.3720151358734618
14919,android-fragments,android,1.0884521674947272
18839,dmenu,pandas,0.5510039779403835
5035,kaitai-struct,sql-server,0.5510039779403835
12377,sentinel2,r,0.5510039779403835
